Country,City,2014,2015,% of NY
01. Australia,Melbourne,1.41,1.11,148%
02. Australia,Sydney,1.41,1.15,154%
03. Brazil,Rio de Janeiro,1.32,1.02,136%
04. Brazil,Sao Paulo,1.25,0.92,123%
05. Canada,Ottawa,1.15,0.92,122%
06. Canada,Toronto,1.20,0.96,129%
07. China,Beijing,1.30,1.30,174%
08. China,Shanghai,1.46,1.30,174%
09. France,Paris,2.12,1.53,204%
10. Germany,Berlin,2.15,1.62,216%
11. Germany,Frankfurt,2.23,1.57,210%
12. Hong Kong,Hong Kong,2.32,2.19,292%
13. India,Bangalore,1.30,1.18,157%
14. India,Mumbai,1.30,1.16,155%
15. India,New Delhi,1.22,1.12,149%
16. Indonesia,Jakarta,0.82,0.65,87%
17. Japan,Tokyo,1.45,1.28,171%
18. Malaysia,Kuala Lumpur,0.65,0.58,77%
19. Mexico,Mexico City,1.08,0.85,114%
20. New Zealand,Auckland,1.88,1.57,210%
21. New Zealand,Wellington,1.89,1.59,212%
22. Philippines,Manila,1.18,1.07,143%
23. Russia,Moscow,0.96,0.60,81%
24. Singapore,Singapore,1.82,1.56,208%
25. South Africa,Cape Town,1.23,1.07,143%
26. South Africa,Johannesburg,1.23,1.07,143%
27. Switzerland,Zurich,2.05,1.74,232%
28. United Kingdom,Edinburgh,2.29,1.84,245%
29. United Kingdom,London,2.25,1.85,247%
30. United States,Boston,0.96,0.83,111%
31. United States,Chicago,1.01,0.85,113%
32. United States,New York City,1.07,0.75,100%
33. United States,San Francisco,1.04,1.03,137%
