Country,City,2014,2015,% of NY
01. Australia,Melbourne,3.19,2.63,118%
02. Australia,Sydney,3.09,3.36,151%
03. Brazil,Rio de Janeiro,1.91,1.52,68%
04. Brazil,Sao Paulo,2.06,1.58,71%
05. Canada,Ottawa,2.23,1.75,78%
06. Canada,Toronto,1.94,1.84,83%
07. China,Beijing,1.13,1.30,59%
08. China,Shanghai,1.30,1.14,51%
09. France,Paris,3.03,2.24,100%
10. Germany,Berlin,2.19,1.62,72%
11. Germany,Frankfurt,2.47,2.04,91%
12. Hong Kong,Hong Kong,1.68,2.06,93%
13. India,Bangalore,1.05,1.18,53%
14. India,Mumbai,1.00,1.04,46%
15. India,New Delhi,1.08,1.16,52%
16. Indonesia,Jakarta,1.53,1.31,59%
17. Japan,Tokyo,3.08,1.92,86%
18. Malaysia,Kuala Lumpur,1.29,1.05,47%
19. Mexico,Mexico City,1.54,1.38,62%
20. New Zealand,Auckland,3.33,2.39,107%
21. New Zealand,Wellington,2.99,2.54,114%
22. Philippines,Manila,1.22,1.41,63%
23. Russia,Moscow,1.84,1.21,54%
24. Singapore,Singapore,2.25,1.86,84%
25. South Africa,Cape Town,1.42,1.24,56%
26. South Africa,Johannesburg,1.51,1.24,56%
27. Switzerland,Zurich,2.86,2.93,132%
28. United Kingdom,Edinburgh,2.97,2.61,117%
29. United Kingdom,London,3.16,2.76,124%
30. United States,Boston,2.32,1.79,80%
31. United States,Chicago,1.74,1.83,82%
32. United States,New York City,2.95,2.23,100%
33. United States,San Francisco,2.55,2.05,92%
