Country,City,2014,2015,% of NY
01. Australia,Melbourne,96.7,85.1,95%
02. Australia,Sydney,104.0,92.0,102%
03. Brazil,Rio de Janeiro,59.1,48.5,54%
04. Brazil,Sao Paulo,62.3,52.3,58%
05. Canada,Ottawa,71.3,71.9,80%
06. Canada,Toronto,91.2,76.0,85%
07. China,Shanghai,60.5,55.0,61%
08. France,Paris,103.6,82.9,92%
09. Germany,Berlin,104.8,85.0,95%
10. Germany,Frankfurt,98.3,77.6,86%
11. Hong Kong,Hong Kong,60.2,70.1,78%
12. India,Bangalore,26.4,25.5,28%
13. India,Mumbai,23.0,24.7,27%
14. India,New Delhi,25.2,26.6,30%
15. Indonesia,Jakarta,31.5,27.7,31%
16. Japan,Tokyo,99.6,103.5,115%
17. Malaysia,Kuala Lumpur,35.9,34.4,38%
18. Mexico,Mexico City,32.6,35.0,39%
19. New Zealand,Auckland,95.8,87.4,97%
20. New Zealand,Wellington,111.0,99.6,111%
21. Philippines,Manila,26.3,40.6,45%
22. Russia,Moscow,69.4,43.1,48%
23. Singapore,Singapore,61.8,62.8,70%
24. South Africa,Cape Town,36.8,35.6,40%
25. South Africa,Johannesburg,40.3,42.3,47%
26. United Kingdom,Edinburgh,109.7,97.0,108%
27. United Kingdom,London,121.4,99.8,111%
28. United States,Boston,86.7,86.5,96%
29. United States,Chicago,80.1,88.4,98%
30. United States,New York City,93.2,89.8,100%
31. United States,San Francisco,88.7,104.6,117%
