Country,City,2014,2015,% of NY
01. Australia,Melbourne,17.19,14.61,104%
02. Australia,Sydney,17.19,13.84,99%
03. Brazil,Rio de Janeiro,9.38,6.91,49%
04. Brazil,Sao Paulo,10.03,7.53,54%
05. Canada,Ottawa,10.47,9.89,71%
06. Canada,Toronto,12.29,11.07,79%
07. China,Beijing,13.03,12.15,87%
08. China,Shanghai,14.25,13.37,96%
09. France,Paris,13.70,10.85,78%
10. Germany,Berlin,12.33,10.31,74%
11. Germany,Frankfurt,13.70,10.31,74%
12. Hong Kong,Hong Kong,10.44,13.54,97%
13. India,Bangalore,4.09,4.06,29%
14. India,Mumbai,3.78,3.80,27%
15. India,New Delhi,4.09,4.51,32%
16. Indonesia,Jakarta,3.77,3.87,28%
17. Japan,Tokyo,17.27,19.52,139%
18. Malaysia,Kuala Lumpur,3.81,4.04,29%
19. Mexico,Mexico City,5.00,4.43,32%
20. New Zealand,Auckland,14.18,12.42,89%
21. New Zealand,Wellington,14.18,12.42,89%
22. Philippines,Manila,4.64,5.13,37%
23. Russia,Moscow,9.61,6.58,47%
24. Singapore,Singapore,8.73,8.00,57%
25. South Africa,Cape Town,4.54,4.38,31%
26. South Africa,Johannesburg,5.01,5.17,37%
27. Switzerland,Zurich,20.16,19.70,141%
28. United Kingdom,Edinburgh,14.91,13.35,95%
29. United Kingdom,London,18.22,17.06,122%
30. United States,Boston,12.00,12.00,86%
31. United States,Chicago,11.50,11.50,82%
32. United States,New York City,13.50,14.00,100%
33. United States,San Francisco,12.50,13.50,96%
