Country,City,2014,2015,% of NY
01. Australia,Melbourne,31356,26739,114%
02. Australia,Sydney,31077,26413,112%
03. Brazil,Rio de Janeiro,21593,18492,79%
04. Brazil,Sao Paulo,30644,22250,95%
05. Canada,Ottawa,19417,18669,79%
06. Canada,Toronto,23101,20659,88%
07. China,Beijing,27105,26144,111%
08. China,Shanghai,34142,29059,124%
09. France,Paris,34878,25738,110%
10. Germany,Berlin,31141,27722,118%
11. Germany,Frankfurt,33147,21303,91%
12. Hong Kong,Hong Kong,35084,30863,131%
13. India,Bangalore,13952,12759,54%
14. India,Mumbai,12765,11345,48%
15. India,New Delhi,13642,12719,54%
16. Indonesia,Jakarta,35345,29693,126%
17. Japan,Tokyo,24105,22764,97%
18. Malaysia,Kuala Lumpur,55516,45444,193%
19. Mexico,Mexico City,20319,15370,65%
20. New Zealand,Auckland,33008,29862,127%
21. New Zealand,Wellington,31236,25712,109%
22. Philippines,Manila,32665,31211,133%
23. Russia,Moscow,23147,14092,60%
24. Singapore,Singapore,126499,112818,480%
25. South Africa,Cape Town,26923,23292,99%
26. South Africa,Johannesburg,26664,23989,102%
27. Switzerland,Zurich,39286,27910,119%
28. United Kingdom,Edinburgh,28138,22307,95%
29. United Kingdom,London,36169,27389,117%
30. United States,Boston,22291,19397,83%
31. United States,Chicago,22526,21813,93%
32. United States,New York City,23113,23487,100%
33. United States,San Francisco,26700,29576,126%
