Country,City,2014,2015,% of NY
01. Australia,Melbourne,63.66,66.49,52%
02. Australia,Sydney,121.53,108.05,85%
03. Brazil,Rio de Janeiro,148.76,120.19,95%
04. Brazil,Sao Paulo,113.92,76.40,60%
05. Canada,Ottawa,27.94,27.44,22%
06. Canada,Toronto,26.84,27.86,22%
07. China,Shanghai,101.94,106.74,84%
08. France,Paris,100.44,102.41,81%
09. Germany,Berlin,32.34,33.80,27%
10. Germany,Frankfurt,49.97,56.84,45%
11. Hong Kong,Hong Kong,161.74,160.01,126%
12. India,Bangalore,28.80,23.69,19%
13. India,Mumbai,82.39,82.42,65%
14. India,New Delhi,135.93,114.96,90%
15. Indonesia,Jakarta,49.91,60.06,47%
16. Japan,Tokyo,156.01,128.34,101%
17. Malaysia,Kuala Lumpur,47.09,43.96,35%
18. Mexico,Mexico City,32.87,34.76,27%
19. New Zealand,Auckland,39.50,41.29,32%
20. Russia,Moscow,127.09,127.09,100%
21. Singapore,Singapore,84.58,102.84,81%
22. United Kingdom,Edinburgh,43.89,48.03,38%
23. United Kingdom,London,89.40,95.23,75%
24. United States,Boston,65.26,71.41,56%
25. United States,Chicago,48.96,49.08,39%
26. United States,New York,128.85,127.09,100%
27. United States,San Francisco,67.26,70.20,55%
