Country,City,2014,2015,% of NY
01. Australia,Melbourne,6.50,6.15,88%
02. Australia,Sydney,5.57,5.38,77%
03. Brazil,Rio de Janeiro,3.05,2.46,35%
04. Brazil,Sao Paulo,3.49,3.07,44%
05. Canada,Ottawa,5.41,5.54,79%
06. Canada,Toronto,6.37,5.54,79%
07. China,Shanghai,6.48,5.06,72%
08. France,Paris,8.11,7.60,109%
09. Germany,Berlin,3.85,3.26,47%
10. Germany,Frankfurt,4.59,3.67,52%
11. Hong Kong,Hong Kong,7.22,5.42,77%
12. India,Bangalore,3.18,2.98,43%
13. India,Mumbai,3.00,3.27,47%
14. India,New Delhi,3.28,3.40,49%
15. Indonesia,Jakarta,4.87,2.79,40%
16. Japan,Tokyo,4.92,4.30,61%
17. Malaysia,Kuala Lumpur,6.71,5.92,85%
18. Mexico,Mexico City,3.15,2.62,37%
19. New Zealand,Auckland,6.02,6.02,86%
20. New Zealand,Wellington,6.02,6.77,97%
21. Philippines,Manila,1.42,1.92,27%
22. Russia,Moscow,6.06,3.73,53%
23. Singapore,Singapore,7.94,7.28,104%
24. South Africa,Cape Town,1.70,1.90,27%
25. South Africa,Johannesburg,1.80,1.82,26%
26. Switzerland,Zurich,7.84,6.22,89%
27. United Kingdom,Edinburgh,5.67,5.73,82%
28. United Kingdom,London,6.46,6.30,90%
29. United States,Boston,5.58,5.57,80%
30. United States,Chicago,5.08,6.00,86%
31. United States,New York City,7.00,7.00,100%
32. United States,San Francisco,4.96,6.00,86%
