Country,City,2014,2015,% of NY
01. Australia,Melbourne,3.33,2.89,105%
02. Australia,Sydney,2.14,2.92,106%
03. Brazil,Rio de Janeiro,1.75,0.74,27%
04. Brazil,Sao Paulo,0.79,0.90,33%
05. Canada,Ottawa,2.48,2.19,80%
06. Canada,Toronto,2.73,2.37,86%
07. China,Beijing,0.16,0.16,6%
08. China,Shanghai,0.49,0.49,18%
09. France,Paris,2.06,1.95,71%
10. Germany,Berlin,2.06,1.74,63%
11. Germany,Frankfurt,2.88,2.12,77%
12. Hong Kong,Hong Kong,0.64,0.52,19%
13. India,Bangalore,0.25,0.24,9%
14. India,Mumbai,0.10,0.11,4%
15. India,New Delhi,0.08,0.08,3%
16. Japan,Tokyo,1.65,1.42,52%
17. Malaysia,Kuala Lumpur,0.30,0.27,10%
18. Mexico,Mexico City,0.19,0.33,12%
19. New Zealand,Auckland,1.63,1.51,55%
20. New Zealand,Wellington,1.72,1.51,55%
21. Russia,Moscow,0.71,0.43,16%
22. Singapore,Singapore,0.61,0.56,20%
23. South Africa,Cape Town,0.64,0.56,20%
24. South Africa,Johannesburg,0.82,0.75,27%
25. Switzerland,Zurich,2.91,2.70,98%
26. United Kingdom,Edinburgh,2.48,2.23,81%
27. United Kingdom,London,7.79,2.23,81%
28. United States,Boston,1.50,1.50,55%
29. United States,Chicago,2.00,2.00,73%
30. United States,New York City,2.50,2.75,100%
31. United States,San Francisco,2.00,2.25,82%
