Country,City,2014,2015,% of NY
01. Australia,Melbourne,18.58,16.15,90%
02. Australia,Sydney,23.22,20.76,115%
03. Brazil,Rio de Janeiro,10.91,8.91,50%
04. Brazil,Sao Paulo,11.34,9.53,53%
05. Canada,Ottawa,13.66,15.03,83%
06. Canada,Toronto,20.94,15.82,88%
07. China,Beijing,6.31,5.71,32%
08. China,Shanghai,6.15,5.71,32%
09. France,Paris,23.29,17.36,96%
10. Germany,Berlin,30.15,23.87,133%
11. Germany,Frankfurt,24.66,19.53,109%
12. Hong Kong,Hong Kong,9.28,12.64,70%
13. India,Bangalore,3.88,3.25,18%
14. India,Mumbai,2.70,2.86,16%
15. India,New Delhi,3.13,2.92,16%
16. Indonesia,Jakarta,4.03,4.29,24%
17. Japan,Tokyo,23.11,23.82,132%
18. Malaysia,Kuala Lumpur,4.57,4.58,25%
19. Mexico,Mexico City,4.61,6.43,36%
20. New Zealand,Auckland,21.49,19.57,109%
21. New Zealand,Wellington,29.22,24.84,138%
22. Philippines,Manila,3.48,8.86,49%
23. Russia,Moscow,15.48,9.27,52%
24. Singapore,Singapore,9.53,11.64,65%
25. South Africa,Cape Town,9.27,8.68,48%
26. South Africa,Johannesburg,10.40,11.32,63%
27. Switzerland,Zurich,33.59,31.11,173%
28. United Kingdom,Edinburgh,28.16,23.73,132%
29. United Kingdom,London,29.82,20.77,115%
30. United States,Boston,20.00,20.00,111%
31. United States,Chicago,18.00,21.00,117%
32. United States,New York City,20.00,18.00,100%
33. United States,San Francisco,21.00,27.00,150%
