Country,City,2014,2015,% of NY
01. Australia,Melbourne,1135.9,943.9,80%
02. Australia,Sydney,2135.3,2,164.0,183%
03. Brazil,Rio de Janeiro,NA,976.1,83%
04. Brazil,Sao Paulo,1541.2,977.1,83%
05. Canada,Ottawa,NA,759.0,64%
06. Canada,Toronto,792.6,755.2,64%
07. China,Shanghai,769.1,897.7,76%
08. France,Paris,1907.1,1530.9,130%
09. Germany,Berlin,1292.9,1117.7,95%
10. Germany,Frankfurt,1207.3,1039.1,88%
11. Hong Kong,Hong Kong,1037.1,1079.0,91%
12. India,Bangalore,649.5,564.3,48%
13. India,Mumbai,505.6,507.7,43%
14. India,New Delhi,738.5,546.8,46%
15. Japan,Tokyo,776.4,750.5,64%
16. Malaysia,Kuala Lumpur,541.8,480.2,41%
17. Mexico,Mexico City,836.2,864.3,73%
18. New Zealand,Auckland,919.4,890.8,75%
19. New Zealand,Wellington,907.6,798.6,68%
20. Russia,Moscow,2367.5,1039.1,88%
21. Singapore,Singapore,1358.9,1126.9,95%
22. South Africa,Cape Town,887.5,1050.1,89%
23. South Africa,Johannesburg,764.6,718.1,61%
24. United Kingdom,London,1965.0,1748.5,148%
25. United States,Boston,1029.8,1035.0,88%
26. United States,Chicago,1232.6,1029.0,87%
27. United States,New York City,1305.8,1180.8,100%
28. United States,San Francisco,919.2,1087.4,92%
