Country,City,2012,2013,2014,2015,% of NY
01. Australia,,75.6,70.1,111.5,92.3,115%
02. Brazil,,70.0,100.7,123.5,49.5,62%
03. Canada,,80.7,87.7,86.5,87.0,109%
04. China,,45.0,50.0,120.0,125.4,157%
05. France,,120.9,121.5,111.0,130.2,163%
06. Germany,,93.6,94.1,123.3,130.1,163%
07. Hong Kong,,NA,NA,89.5,94.3,118%
08. India,,60.8,63.7,100.0,79.7,100%
09. Indonesia,,NA,NA,59.4,79.9,100%
10. Japan,,124.0,159.8,124.9,62.5,78%
11. Malaysia,,66.3,70.9,106.7,88.9,111%
12. Mexico,,105.0,100.5,86.5,72.1,90%
13. New Zealand,,117.8,116.3,128.9,105.4,132%
14. Philippines,,NA,79.2,94.9,111.4,139%
15. Russia,,154.4,162.9,114.7,80.2,100%
16. Singapore,,124.3,113.0,99.2,93.9,117%
17. South Africa,,73.5,79.1,51.9,68.9,86%
18. United Kingdom,,98.8,94.0,102.7,96.4,121%
19. United States,,70.0,70.0,75.0,80.0,100%
