Country,2012,2013,2014,2015,% of NY
01. Argentina,4.64,3.82,3.03,3.25,68%
02. Australia,4.94,4.9,4.47,4.32,90%
03. Austria,3.92,4.6,4.6,3.93,82%
04. Belgium,4.69,5.16,5.36,4.29,89%
05. Brazil,5.68,5.64,5.25,5.21,109%
06. Britain,3.82,4.25,4.63,4.37,91%
07. Canada,4.63,5.39,5.01,4.64,97%
08. Chile,4.05,4.35,3.69,3.35,70%
09. China,2.44,2.57,2.74,2.77,58%
10. Colombia,4.54,4.85,4.34,3.34,70%
11. Costa Rica,4.02,4.39,4.28,4.01,84%
12. Czech Republic,3.45,3.72,3.47,2.92,61%
13. Denmark,5.37,5.18,5.18,5.38,112%
14. Egypt,2.57,2.39,2.43,2.3,48%
15. Estonia,2.59,3.66,3.8,3.36,70%
16. Euro area,4.43,4.88,4.96,4.26,89%
17. Finland,4.76,5.09,5.56,4.75,99%
18. France,4.57,4.89,5.15,4.52,94%
19. Germany,4.48,4.94,4.98,4.25,89%
20. Greece,4.19,4.48,4.14,3.53,74%
21. Hong Kong,2.12,2.19,2.32,2.43,51%
22. Hungary,2.63,3.82,3.85,3.17,66%
23. India,1.62,1.67,1.54,1.89,39%
24. Indonesia,2.46,2.86,2.3,2.24,47%
25. Ireland,4.82,4.74,4.69,4.04,84%
26. Israel,4.13,4,5.02,4.45,93%
27. Italy,4.44,5.22,5.22,4.46,93%
28. Japan,4.16,3.51,2.97,3.14,66%
29. Latvia,3,3.28,NA,NA,NA
30. Lithuania,2.87,3.07,3.46,NA,NA
31. Malaysia,2.34,2.58,2.23,2.11,44%
32. Mexico,2.7,2.9,2.78,3.35,70%
33. Netherlands,4.12,4.68,4.68,4,83%
34. New Zealand,4.05,4.32,4.57,4.49,94%
35. Norway,6.79,7.84,7.8,6.3,131%
36. Pakistan,2.89,2.97,3.04,2.98,62%
37. Peru,3.71,3.91,3.56,3.32,69%
38. Philippines,2.68,2.91,2.98,3.67,77%
39. Poland,2.58,2.94,3,2.48,52%
40. Portugal,3.68,4,4.07,3.48,73%
41. Russia,2.55,2.43,2.62,1.36,28%
42. Saudi Arabia,2.67,2.93,2.93,2.93,61%
43. Singapore,3.75,3.64,3.6,3.53,74%
44. South Africa,2.45,2.03,2.16,2.22,46%
45. South Korea,3.19,3.41,3.47,3.78,79%
46. Spain,4.44,4.75,4.95,4.23,88%
47. Sri Lanka,2.55,2.77,2.68,2.65,55%
48. Sweden,5.91,7.62,6.29,4.97,104%
49. Switzerland,6.81,7.12,7.14,7.54,157%
50. Taiwan,2.50,2.54,2.62,2.51,52%
51. Thailand,2.46,2.92,2.92,3.04,63%
52. Turkey,3.54,4.78,3.76,3.96,83%
53. UAE,3.27,3.27,3.27,3.54,74%
54. Ukraine,2.11,2.33,2.27,1.20,25%
55. United States,4.20,4.37,4.62,4.79,100%
56. Uruguay,4.63,5.45,4.91,4.63,97%
57. Venezuela,6.99,9.08,7.15,2.53,53%
58. Vietnam,NA,NA,NA,2.81,59%
