Country,2015,% of NY
01. Australia,637.4,116%
02. Brazil,1174.0,213%
03. Canada,568.6,103%
04. China,731.9,133%
05. France,660.8,120%
06. Germany,649.9,118%
07. Hong Kong,604.5,110%
08. India,709.8,129%
09. Indonesia,839.9,153%
10. Japan,608.6,111%
11. Malaysia,578.6,105%
12. Mexico,656.0,119%
13. New Zealand,691.7,126%
14. Philippines,680.2,124%
15. Russia,759.7,138%
16. Singapore,617.0,112%
17. South Africa,661.2,120%
18. Switzerland,672.9,122%
19. United Kingdom,680.9,124%
20. United States,550.0,100%
