Community,Population,Unemployed,Income,Poverty,Votes
DOUGLAS,18023,3659,22680.57143,1911,569
OAKLAND,2794,379,11066.5,488,223
FULLER PARK,2504,171,20414,231,266
GRAND BOULEVARD,18837,2186,16406.3,2608,1042
KENWOOD,14765,1244,36198.42857,704,477
LINCOLN SQUARE,36675,1405,41655.5,902,2180
WASHINGTON PARK,9380,1160,17478.625,1507,744
HYDE PARK,26241,1271,39237.57143,459,708
WOODLAWN,19199,1851,19048.33333,2046,1124
ROGERS PARK,50144,2807,32444.22222,2221,2230
JEFFERSON PARK,21217,427,50336.2,253,1237
FOREST GLEN,14544,255,55809.4,90,849
NORTH PARK,14794,725,48684.2,329,1216
ALBANY PARK,43099,2006,40795.25,1894,2715
PORTAGE PARK,52492,1634,45127.5,924,3559
IRVING PARK,45360,1743,43570.84615,1225,3843
DUNNING,34541,1038,48690.36364,393,1773
MONTCLARE,9856,396,46693.66667,117,659
BELMONT CRAGIN,57059,2527,43579.07143,1636,5006
WEST RIDGE,56857,1941,42365.11111,2171,3190
HERMOSA,18771,1207,37188.83333,923,1674
AVONDALE,32530,1826,37034.55556,1471,3685
LOGAN SQUARE,62079,3249,39054.48276,3029,6124
HUMBOLDT PARK,44314,4079,27055.61111,4127,3043
WEST TOWN,69368,3138,41716.88889,3168,6834
AUSTIN,82751,8151,34667.54167,5546,4369
WEST GARFIELD PARK,15663,1788,23938.6,1518,1025
EAST GARFIELD PARK,14492,1587,25530.73684,1323,1218
NEAR WEST SIDE,36674,4180,30625,2589,3519
NORTH LAWNDALE,27378,3304,16529.7037,3958,1968
UPTOWN,54288,2864,34058.16667,2455,1891
SOUTH LAWNDALE,65256,3626,30784,3905,5897
LOWER WEST SIDE,30962,1691,25176.33333,2322,4227
NEAR SOUTH SIDE,7301,418,38150.8,637,766
ARMOUR SQUARE,9766,326,23975.5,806,678
NORWOOD PARK,31215,561,53691.14286,281,1533
NEAR NORTH SIDE,65582,2899,52488.42105,1883,2545
LOOP,15623,513,60444,52,2370
SOUTH SHORE,45967,4080,29953.78571,3500,2594
CHATHAM,29112,2156,53882.66667,1394,1742
AVALON PARK,8759,437,41254,224,655
SOUTH CHICAGO,26968,2761,26149.7,2346,1962
BURNSIDE,2322,252,34853,185,185
CALUMET HEIGHTS,12849,716,45421.6,408,1082
ROSELAND,39274,3916,39852.07143,1789,2879
NORTH CENTER,27169,961,50802.13333,438,2294
PULLMAN,6632,671,29749.66667,415,519
SOUTH DEERING,12598,771,36999.4,732,1234
EAST SIDE,17208,1112,39411.33333,587,1541
WEST PULLMAN,26169,2079,36725.66667,1655,2158
RIVERDALE,5686,1012,6734.5,1248,185
HEGEWISCH,7722,347,46055,206,583
GARFIELD RIDGE,28468,1065,34309.85714,817,2543
ARCHER HEIGHTS,9716,377,40168.4,167,2203
BRIGHTON PARK,31101,2024,34241.72727,1468,4237
MCKINLEY PARK,11724,610,36866.14286,453,2312
LAKE VIEW,80644,1968,61206.66667,650,3446
BRIDGEPORT,26012,1251,38015.75,1206,3258
NEW CITY,33894,2723,26874.04545,3301,2459
WEST ELSDON,12127,492,46262,182,1694
GAGE PARK,28980,1604,34427.8,1548,3937
CLEARING,17872,534,40102.75,322,1278
WEST LAWN,21590,921,46129.2,360,2282
CHICAGO LAWN,41825,3927,34555.27273,2295,2866
WEST ENGLEWOOD,31225,3995,26424.25,2784,2150
ENGLEWOOD,26951,3208,19512.85714,3515,1714
GREATER GRAND CROSSING,28193,2915,27162.06667,2384,2001
LINCOLN PARK,58452,2141,81241.3,446,2805
ASHBURN,29009,1562,51936.2,591,2574
AUBURN GRESHAM,41290,3782,33608.13333,2482,2793
BEVERLY,16618,675,68958.85714,143,1188
WASHINGTON HEIGHTS,23237,1693,43046.57143,735,1885
MOUNT GREENWOOD,14604,424,56505.5,121,700
MORGAN PARK,19146,1015,46741,583,1306
OHARE,10382,287,9423,167,244
EDGEWATER,53793,2342,39415,1706,2016
EDISON PARK,9176,199,59179.66667,46,428
